State,Company,Plans
Oregon,Aetna Medicare,1. Aetna Medicare
Oregon,Humana,1. Medicare Advantage and Medicare Supplement
Pennsylvania,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Pennsylvania,Aetna Medicare,1. Aetna Medicare MAPD*
Pennsylvania,Clover Health,1. Clover Health Choice (PPO)
,,2. Clover Health Choice Value (PPO)
,,3. Green (PPO)
Pennsylvania,Coventry Health Care,1. Coventry Medicare MAPD*
Pennsylvania,Gateway Health Medicare Assured℠,"1. Gateway Health Medicare Assured,"
,,2. Medicare Assured Value
Pennsylvania,Highmark Inc.,1. Community Blue Medicare (HMO)
,,2. Community Blue Medicare (PPO)
,,3. Freedom Blue (PPO)
,,4. Security Blue (HMO)
Pennsylvania,Humana,1. Medicare Advantage and Medicare Supplement
Pennsylvania,Independence Blue Cross,1. Keystone 65 Basic (HMO)
,,2. Keystone 65 Focus (HMO)
,,3. Keystone 65 Group (HMO)
,,4. Keystone 65 Preferred (HMO)
,,5. Keystone 65 Select (HMO)
,,6. Personal Choice 65 (PPO)
,,7. Personal Choice 65 Group (PPO)
Pennsylvania,UPMC,1. UPMC for Life
,,2. UPMC for Life Dual
Pennsylvania,UnitedHealthcare®,1. AARP MedicareComplete (HMO)
,,2. AARP MedicareComplete Choice (PPO)
,,3. AARP MedicareComplete Plan 1 (HMO)
,,4. AARP MedicareComplete Plan 2 (HMO)
,,5. AARP MedicareComplete Plan 3 (HMO)
,,6. AARP MedicareComplete Choice Plan 1 (PPO)
,,7. AARP MedicareComplete Choice Plan 2 (PPO)
,,8. AARP MedicareComplete Essential
,,9. UnitedHealthcare Dual Complete
Puerto Rico,Humana,1. Medicare Advantage
,,2. Medicare Supplement
Rhode Island,Humana,1. Medicare Supplement
Rhode Island,UnitedHealthcare®,1. AARP MedicareComplete Plan 1 (HMO)
,,2. AARP MedicareComplete Plan 2 (HMO)
,,3. AARP MedicareComplete Plan 3 (HMO)
,,4. AARP MedicareComplete Choice (Regional PPO)
,,5. AARP MedicareComplete Essential (HMO)
South Carolina,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
South Carolina,Aetna Medicare,1. Aetna Medicare
South Carolina,America’s 1st Choice Health Plans,1. AFC Care Rx (HMO)
,,2. AFC Special Care Rx (HMO SNP)
South Carolina,Clover Health,1. Clover Health Choice Value (PPO)
South Carolina,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
South Carolina,Eon Health,1. Eon Health
South Carolina,Humana,1. Medicare Advantage and Medicare Supplement
South Carolina,UnitedHealthcare®,1. AARP MedicareComplete
,,2. AARP MedicareComplete (HMO)
,,3. AARP MedicareComplete Essential (HMO)
South Carolina,WellCare,1. WellCare Advance (HMO)
,,2. WellCare Value (HMO)
,,3. WellCare Access (HMO SNP)
South Dakota,Coventry Health Care,1. Advantra Platinum (PPO)
,,2. Total Care (PPO)
South Dakota,Humana,1. Medicare Advantage and Medicare Supplement
South Dakota,Medica,1. Medica Group Prime Solution
,,2. Medica Prime Solution®
Tennessee,Aetna Medicare,1. Aetna Medicare
Tennessee,Amerigroup,1. Amerivantage ESRD (HMO POS-SNP)
Tennessee,BlueCross BlueShield of Tennessee,1. BlueAdvantage Diamond (PPO)℠
,,2. BlueAdvantage Garnet (PPO)℠
,,3. BlueAdvantage Ruby (PPO)℠
,,4. BlueAdvantage Sapphire (PPO)℠
,,5. BlueCare Plus (HMO SNP)℠
,,6. BlueChoice (HMO)℠
,,7. BlueChoice Plus (HMO)℠
,,8. BlueCross65℠
,,9. BlueElite℠
Tennessee,Clover Health,1. Clover Health Choice (PPO)
,,2. Clover Health Choice Value (PPO)
Tennessee,Humana,1. Medicare Advantage and Medicare Supplement
Tennessee,UnitedHealthcare®,1. AARP MedicareComplete Plan 1 (HMO)
,,2. AARP MedicareComplete Plan 2 (HMO)
,,3. AARP MedicareComplete Plus Plan 1 (HMO-POS)
,,4. AARP MedicareComplete Plus Plan 2 (HMO-POS)
,,5. UnitedHealthcare Dual Complete (HMO SNP)
Texas,Aetna Medicare,1. Aetna Medicare
Texas,Amerigroup,1. Amerigroup Medicare-Medicaid Plan (MMP HMO)
,,2. Amerivantage Classic (HMO)
,,3. Amerivantage CareMore Smart Value (HMO)
,,4. Amerivantage CareMore Care to You (HMO SNP)
,,5. Amerivantage CareMore Classic (HMO)
,,6. Amerivantage CareMore COPD (HMO SNP)
,,7. Amerivantage CareMore Diabetes (HMO SNP)
,,8. Amerivantage CareMore Heart Care (HMO SNP)
,,9. Amerivantage CareMore Care Access (HMO)
,,10. Amerivantage Dual Secure (HMO SNP)
,,11. Amerivantage Diabetes (HMO SNP)
,,12. Amerivantage Heart (HMO SNP)
,,13. Amerivantage COPD (HMO SNP)
,,14. Amerivantage Dual Premier (HMO SNP)
,,15. Amerivantage Dual Coordination (HMO SNP)
,,16. Amerivantage ESRD (HMO-POS SNP)
,,17. Amerivantage Select (HMO)
,,"18. Medicare Supplement Plans A, F, G & N"
Texas,BlueCross BlueShield of Texas,1. Blue Cross Medicare Advantage Basic (HMO)
,,2. Blue Cross Medicare Advantage Value (HMO)
,,3. Blue Cross Medicare Advantage Select (HMO)
,,4. Blue Cross Medicare Advantage Choice Plus (PPO)
,,5. Blue Cross Medicare Advantage Choice Premier (PPO)
Texas,Care N Care,1. Care N' Care Choice (PPO)
,,2. Care N' Care Choice MA-Only (PPO)
,,3. Care N' Care Choice Plus (PPO)
,,4. Care N' Care Choice Premium (PPO)
,,5. Care N' Care Classic (HMO)
Texas,Clover Health,1. Clover Health Choice (PPO)
,,2. Clover Health Choice Value (PPO)
,,3. Clover Health Classic (HMO)
,,4. Clover Health Classic Plus (HMO)
,,5. Green (PPO)
Texas,Humana,1. Medicare Advantage and Medicare Supplement
Texas,"KelseyCare Advantage (Starting January 1, 2019)","1. KelseyCare Advantage Essential (Starting January 1, 2019)"
,,"2. KelseyCare Advantage Essential+Choice (Starting January 1, 2019)"
,,"3. KelseyCare Advantage Rx (Starting January 1, 2019)"
,,4. KelseyCare Advantage Rx+Choice
Texas,Mutual of Omaha,1. CareAdvantage Complete
Texas,UnitedHealthcare®,1. AARP MedicareComplete Choice (PPO)
Utah,Aetna Medicare,1. Aetna Medicare
Utah,Coventry Health Care,1. Altius Advantra (HMO)
,,2. Altius Advantra Select (HMO)
Utah,Humana,1. Medicare Advantage and Medicare Supplement
Virginia,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Virginia,Aetna Better Health of Virginia,1. Aetna Better Health of Virginia (HMO SNP)
Virginia,Aetna Medicare,1. Aetna Medicare
Virginia,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,"2. Medicare Supplement Plans A, F, G & N"
Virginia,Anthem HealthKeepers,1. Anthem MediBlue Dual Advantage (HMO SNP)
,,2. Anthem MediBlue ESRD (HMO-POS SNP)
,,3. Anthem MediBlue Plus (HMO)
,,4. Anthem MediBlue Smart Fit (HMO POS)
Virginia,CareFirst MedPlus,1. Medicare Supplement
Virginia,Humana,1. Medicare Advantage and Medicare Supplement
Virginia,Innovation Health,1. Innovation Health Medicare Connection Plan (HMO)
,,2. Innovation Health Medicare Voyager Plan (PPO)
Virginia,Piedmont Medicare Advantage,1. Piedmont Select Medicare Option One (PPO)
,,2. Piedmont Select Medicare Option Two (PPO)
,,3. Piedmont Select Medicare Option Three (PPO)
Virginia,UnitedHealthcare®,1. AARP MedicareComplete Plan 1 (HMO)
,,2. AARP MedicareComplete Plan 2 (HMO)
,,3. AARP MedicareComplete Plus Plan 1 (HMO-POS)
,,4. AARP Medicare Complete Plus Plan 2 (HMO-POS)
,,5. United Healthcare Dual Complete
,,6. UnitedHealthcare Dual Complete (HMO SNP)
,,7. North Carolina Dual Complete | Virginia Dual Complete
Vermont,Humana,1. Medicare Supplement
Vermont,MVP Health Care,1. GoldValue HMO-POS
,,2. Preferred Gold HMO-POS
,,3. Gold PPO
,,4. BasiCare PPO
,,5. GoldAnywhere PPO
,,6. USA Care PPO
Vermont,UnitedHealthcare®,1. AARP MedicareComplete Choice (Regional PPO)
,,2. AARP MedicareComplete (HMO)
,,3. AARP MedicareComplete Plan 1
,,4. AARP MedicareComplete Plan 2
,,5. UnitedHealthcare MedicareComplete Assure
Washington,Aetna Medicare,1. Aetna Medicare
Washington,Amerigroup,1. Amerivantage Classic (HMO)
,,2. Amerivantage Dual Coordination (HMO SNP)
Washington,Humana,1. Medicare Advantage and Medicare Supplement
West Virginia,Coventry Health Care,1. Advantra Choice (HMO)
,,2. Advantra Gold (PPO)
,,3. Advantra Silver (HMO)
,,4. AdvantraOne (PPO)
West Virginia,Highmark Blue Cross Blue Shield of West Virginia,1. Medifil - Medicare Supplements
West Virginia,Highmark Health Insurance Company,1. Freedom Blue (PPO)
West Virginia,Humana,1. Medicare Advantage and Medicare Supplement
West Virginia,The Health Plan,1. Medicare Supplement
,,2. SecureCare HMO (options I and II)
,,3. SecureChoice PPO (option II)
West Virginia,UnitedHealthcare®,1. AARP MedicareComplete Choice Plan 2
,,2. UnitedHealthcare Dual Complete
Wisconsin,Aetna Medicare,1. Aetna Medicare
Wisconsin,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Access Core (PPO)
,,3. Anthem MediBlue Dual Advantage (HMO SNP)
,,4. Anthem MediBlue Plus (HMO)
,,5. Medicare Supplement Basic Plan + Optional Riders
Wisconsin,Health Tradition,1. 65Plus Platinum
Wisconsin,Humana,1. Medicare Advantage and Medicare Supplement
Wisconsin,Medica,1. Medica Group Prime Solution
,,2. Medica Prime Solution®
Wisconsin,Network Health,1. Network PlatinumChoice (PPO)
,,2. Network PlatinumPlus (PPO)
,,3. Network PlatinumPlus Pharmacy (PPO)
,,4. Network PlatinumPremier (PPO)
,,5. Network PlatinumPremier Pharmacy (PPO)
,,6. NetworkCares (PPO SNP)
,,7. Network Health Medicare Go (PPO)
,,8. Network Health Medicare Anywhere (PPO)
,,9. Network Health Medicare Explore (HMO)
Wisconsin,WEA Trust,1. IYC Medicare Plus
,,2. WEA-MedPlus
Wisconsin,iCare,1. iCare Family Care Partnership (HMO SNP)
,,2. iCare Medicare Plan (HMO SNP)
,,3. Lakeland Care +Health (HMO SNP)
Wisconsin,iCare,1. Aurora Special Needs Plan HMO SNP
Wyoming,Humana,1. Medicare Supplement
